               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.061068,            0.079866,          0.00079795,             0.76755,              0.7214,             0.73737,              0.2498,            0.049004,             0.05237,          0.00062631,            0.006832,            0.006832,            0.006832
                  98,            0.058386,            0.093338,           0.0011644,             0.80976,             0.69504,             0.74094,             0.24497,            0.051701,            0.051662,          0.00071452,            0.006799,            0.006799,            0.006799
                  99,            0.055906,            0.092094,           0.0013971,             0.80499,             0.69677,             0.74477,             0.24463,            0.053272,            0.052041,          0.00083314,            0.006766,            0.006766,            0.006766
                 100,             0.05514,            0.082228,           0.0011631,             0.79431,             0.73015,             0.75485,             0.25942,            0.049682,            0.051414,          0.00071934,            0.006733,            0.006733,            0.006733
                 101,            0.057086,            0.068161,            0.001121,             0.77648,             0.69182,             0.73246,             0.23284,            0.051558,             0.05114,           0.0007688,              0.0067,              0.0067,              0.0067
                 102,            0.056709,            0.072457,           0.0011723,             0.79178,             0.71885,             0.74723,             0.23376,            0.050053,            0.051021,          0.00068839,            0.006667,            0.006667,            0.006667
                 103,            0.056907,            0.095084,           0.0010095,             0.82793,             0.75792,             0.80218,             0.27771,            0.048852,            0.050658,          0.00079417,            0.006634,            0.006634,            0.006634
                 104,            0.054548,            0.081205,           0.0011621,             0.86377,             0.73088,             0.80581,             0.29049,             0.04582,            0.051051,          0.00067916,            0.006601,            0.006601,            0.006601
                 105,            0.057777,             0.10193,           0.0012979,             0.78583,             0.76572,             0.78343,             0.25748,            0.046649,            0.050371,          0.00085113,            0.006568,            0.006568,            0.006568
                 106,             0.05734,            0.082726,           0.0010991,             0.83105,             0.74493,             0.80062,             0.27414,            0.045753,            0.049635,           0.0008272,            0.006535,            0.006535,            0.006535
                 107,            0.054023,            0.062355,           0.0011868,             0.82373,             0.75866,             0.81088,             0.28874,            0.045567,            0.049291,          0.00083323,            0.006502,            0.006502,            0.006502
                 108,            0.053768,            0.096775,           0.0010372,             0.82189,             0.75939,             0.79893,             0.28767,            0.042816,            0.049648,          0.00073684,            0.006469,            0.006469,            0.006469
